season,rank,eligible_rank,afl_leaderboard_order,player_id,afl_player_id,player_name,player_team,player_team_abbr,eligible,winner,afl_total_actual_votes,reconstructed_total_votes,afl_total_predicted_votes,n_3_votes,n_2_votes,n_1_votes,games_with_votes,games_played,byes,did_not_play,identity_status
2026,1,1,1,12943,CD_I1023261,Nick Daicos,collingwood,COLL,True,True,47,47,47,13,3,2,18,22,2,1,resolved
2026,2,2,2,12692,CD_I1006130,Bailey Smith,geelong,GEEL,True,False,36,36,34,9,4,1,14,22,2,1,resolved
2026,3,3,3,12269,CD_I297373,Marcus Bontempelli,western_bulldogs,WB,True,False,34,34,32,8,4,2,14,22,2,1,resolved
2026,4,4,4,11966,CD_I290528,Max Gawn,melbourne,MELB,True,False,28,28,25,5,5,3,13,23,2,0,resolved
2026,5,5,5,13040,CD_I1023517,Will Ashcroft,brisbane_lions,BL,True,False,27,27,27,5,6,0,11,23,2,0,resolved
2026,5,5,6,12261,CD_I990704,Patrick Cripps,carlton,CARL,True,False,27,27,19,5,5,2,12,23,2,0,resolved
2026,5,5,7,13034,CD_I1023518,Harry Sheezel,north_melbourne,NMFC,True,False,27,27,22,5,4,4,13,22,2,1,resolved
2026,8,8,8,12698,CD_I1006121,Zak Butters,port_adelaide,PORT,True,False,26,26,19,4,5,4,13,17,2,6,resolved
2026,8,8,9,12326,CD_I298539,Isaac Heeney,sydney,SYD,True,False,26,26,23,5,3,5,13,20,2,3,resolved
2026,10,10,10,12798,CD_I1001195,Izak Rankine,adelaide,ADEL,True,False,25,25,23,6,3,1,10,20,2,3,resolved
2026,11,11,11,12410,CD_I996701,Clayton Oliver,greater_western_sydney,GWS,True,False,23,23,12,1,8,4,13,23,2,0,resolved
2026,12,,12,12956,CD_I1011640,Jason Horne-Francis,port_adelaide,PORT,False,False,22,22,24,3,5,3,11,21,2,2,resolved
2026,13,12,13,12516,CD_I992242,Jordan Dawson,adelaide,ADEL,True,False,21,21,24,4,4,1,9,20,2,3,resolved
2026,13,12,14,12915,CD_I1020895,Jai Newcombe,hawthorn,HAW,True,False,21,21,24,5,3,0,8,23,2,0,resolved
2026,13,12,15,12950,CD_I1015507,Nasiah Wanganeen-Milera,st_kilda,STK,True,False,21,21,25,4,4,1,9,17,2,6,resolved
2026,16,15,16,12055,CD_I293535,Lachie Neale,brisbane_lions,BL,True,False,20,20,22,3,5,1,9,23,2,0,resolved
2026,16,15,17,12771,CD_I1008541,Kysaiah Pickett,melbourne,MELB,True,False,20,20,22,5,2,1,8,23,2,0,resolved
2026,18,17,18,12590,CD_I1002267,Luke Davies-Uniacke,north_melbourne,NMFC,True,False,19,19,16,3,4,2,9,23,2,0,resolved
2026,18,17,19,12779,CD_I1009399,Luke Jackson,fremantle,FRE,True,False,19,19,16,4,3,1,8,23,2,0,resolved
2026,20,19,20,12862,CD_I1013128,Errol Gulden,sydney,SYD,True,False,17,17,15,5,1,0,6,11,2,12,resolved
2026,21,20,21,12217,CD_I293957,Brodie Grundy,sydney,SYD,True,False,16,16,15,2,4,2,8,21,2,2,resolved
2026,21,20,22,12605,CD_I1008280,Ed Richards,western_bulldogs,WB,True,False,16,16,20,4,0,4,8,22,2,1,resolved
2026,23,22,23,12767,CD_I1009199,Noah Anderson,gold_coast,GCFC,True,False,15,15,8,2,4,1,7,22,2,1,resolved
2026,23,22,24,12535,CD_I993993,Shai Bolton,fremantle,FRE,True,False,15,15,11,2,3,3,8,22,2,1,resolved
2026,23,22,25,12430,CD_I298210,Christian Petracca,gold_coast,GCFC,True,False,15,15,12,4,1,1,6,20,2,3,resolved
2026,23,22,26,13180,CD_I1028513,Murphy Reid,fremantle,FRE,True,False,15,15,17,4,1,1,6,21,2,2,resolved
2026,23,,27,13111,CD_I1023492,Harley Reid,west_coast,WCE,False,False,15,15,20,3,2,2,7,23,2,0,resolved
2026,28,26,28,12786,CD_I1009420,Caleb Serong,fremantle,FRE,True,False,14,14,13,3,1,3,7,20,2,3,resolved
2026,28,26,29,12684,CD_I1006094,Sam Walsh,carlton,CARL,True,False,14,14,16,2,2,4,8,23,2,0,resolved
2026,30,28,30,12411,CD_I294036,George Hewett,carlton,CARL,True,False,13,13,9,2,3,1,6,19,2,4,resolved
2026,30,,31,12610,CD_I1002312,Zac Bailey,brisbane_lions,BL,False,False,13,13,7,2,2,3,7,22,2,1,resolved
2026,32,29,32,13193,CD_I1020855,Max Hall,st_kilda,STK,True,False,12,12,8,2,2,2,6,23,2,0,resolved
2026,32,29,33,12768,CD_I1009208,Matt Rowell,gold_coast,GCFC,True,False,12,12,12,2,2,2,6,18,2,5,resolved
2026,32,29,34,13274,CD_I1028515,Jagga Smith,carlton,CARL,True,False,12,12,12,3,0,3,6,23,2,0,resolved
2026,32,29,35,12693,CD_I999391,Tom Sparrow,melbourne,MELB,True,False,12,12,8,1,3,3,7,23,2,0,resolved
2026,32,29,36,12797,CD_I1012014,Chad Warner,sydney,SYD,True,False,12,12,14,1,2,5,8,22,2,1,resolved_exact_full_name
2026,37,34,37,12954,CD_I1017094,Connor Macdonald,hawthorn,HAW,True,False,11,11,5,2,2,1,5,23,2,0,resolved
2026,38,35,38,12849,CD_I1012807,Sam Berry,adelaide,ADEL,True,False,10,10,7,1,2,3,6,22,2,1,resolved
2026,38,35,39,12969,CD_I1023266,Finn Callaghan,greater_western_sydney,GWS,True,False,10,10,12,2,1,2,5,19,2,4,resolved
2026,38,35,40,12421,CD_I996731,Charlie Curnow,sydney,SYD,True,False,10,10,8,2,2,0,4,22,2,1,resolved
2026,38,35,41,12025,CD_I295344,Toby Greene,greater_western_sydney,GWS,True,False,10,10,9,1,2,3,6,21,2,2,resolved
